Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
เดอะ คอฟฟี่ คลับ - ริเวอร์ ซิตี้,13.730143,100.5132981,Cafe,สัมพันธวงศ์,4.7,5533,฿฿,"ชั้นที่ 1, โซน outdoor, 23 Soi Chareonkrung 22, Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJbfMAByKZ4jAR0dHPpg-HH4Y
ThaiWan-Thai灣 Coffee&tea socialspace,13.7258607,100.60347259999999,Cafe,Watthana,4.9,3064,฿฿,"85 Soi Pridi Banomyong 26, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkTJmvEef4jAR4nvfCeeQzds
ฮงเซียงกง,13.7347953,100.5115915,Cafe,Yaowarat,4.4,4097,฿฿,"734, 736 Soi Wanit 2, Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ580MFqCZ4jARh5fpv9GvfSs
Sarnies Bangkok,13.721055600000001,100.5147629,Cafe,Bang Rak,4.5,3718,฿฿,"101, 103 Soi Charoen Krung 44, Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJUXT3NL6Z4jARwh3cJq_bkog
Factory Coffee - Bangkok,13.7569298,100.53461399999999,Cafe,Ratchathewi,4.4,3945,฿฿,"49 Phaya Thai Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJA-r3h7ae4jARcgEibgLyJyc
RISE COFFEE - Flagship Store,13.7419119,100.5486868,Cafe,ปทุมวัน,4.9,2236,฿,"888 อาคารมหาทุนพลาซ่า ชั้น 1 ยูนิต 1, Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJG52xQk-f4jARNARZ-n73gCg
Roast theCOMMONS Thonglor,13.7350544,100.58226839999999,Cafe,Thonglor,4.5,2814,฿฿,"The COMMONS, 335 ชั้น 3 Soi Thong Lo 17, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJicwRRFOe4jARAcJ7qJDLIe8
นานา คอฟฟี่ โรสเตอร์ อารีย์,13.7826347,100.54198,Cafe,Phaya Thai,4.4,2929,฿฿,"24, 2 Soi Ari 4, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJl0zcc1ud4jAR6LEHnouPOEo
Tokizen farm & cafe,13.7745628,100.4636077,Matcha Cafe,Bangkok Noi,4.8,1965,฿฿,"57, แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพมหานคร 10700, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ98Gc1oaZ4jARQU8HIm1lhV8
BABYCCINO,13.730295799999999,100.59172319999999,Cafe,Ekkamai,4.4,2349,฿฿,"53 Soi Ekkamai 12, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJq7RA0bef4jAR3WVdmzBvdM8
