Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
ฮัวหม่าล่า,13.803443,100.6159016,Chinese,Lat Phrao,4.9,5034,฿฿,"79 Pradit Manutham Rd, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJBVjCBACd4jARoVRvuegvF_Y
ฮะเก๋า เยาวราช,13.7407445,100.5093962,Chinese,Yaowarat,4.7,3183,฿฿,"387 Yaowarat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJg_OawsSZ4jARhar1F01_csQ
ประจักษ์ (เป็ดย่าง),13.7203757,100.5160568,Chinese,บางรัก,4.3,4181,฿,"1415 ถ. เจริญกรุง Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJVR1_rsWY4jAR0BqRhCK_sbM
ตวง ติ่มซำ,13.705070599999999,100.5059022,Chinese,Bang Kho Laem,4.3,3827,฿฿,"2329 Soi Charoen Krung 89, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJHxU3Z76Y4jARFusSCmswJqc
เหล่าเต๊ง,13.7402038,100.5099084,Chinese,Yaowarat,4.6,2701,฿฿,"Floor, 2, 438 ถ. เยาวราช แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJ03QjGOZ4jARdUW-bCQ2u2s
แกรนด์แสนยอด,13.718838499999999,100.5176718,Chinese,Bang Rak,4.3,2316,฿฿,"89 Charat Wiang Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJi8XyU9Oe4jARrOjDdixXim0
กงฟูติ่มซำ,13.7468911,100.57455879999999,Chinese,Huai Khwang,4.8,1189,฿฿,"2040 New Petchaburi Rd, Khwaeng Bang Kapi, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJMffmMACf4jARuL6oF923Pgs
คูณสินเป็ดย่าง,13.7224764,100.7528694,Chinese,Lat Krabang,4.4,1333,฿,"3 Lat Krabang 7, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJr6SgUABnHTERPpcbPGAlhdA
อาฟู​ เป็ดย่าง,13.769792899999999,100.60708729999999,Chinese,พลับพลา,4.6,1094,฿฿,"1889 D2-D5, Thanon Siwara, Khwaeng Phlabphla, เขต งทองหลาง, Krung Thep Maha Nakhon 10312, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJT99KUA-e4jARfqZrvLcMn4c
โชคดีติ่มซำ สาขาบรรทัดทอง,13.743529599999999,100.5253805,Chinese,ปทุมวัน,4.3,1248,฿฿,"42 46 ซอย จุฬาลงกรณ์ 7 Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJSWhxfi6Z4jARhGQPscLf85g
จงติ่มซำ,13.7892582,100.5482364,Chinese,Phaya Thai,4.4,1107,฿,"524, 4 Phahon Yothin Road, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK8Yrohmc4jAR7FqVpG-wwrw
Lhong Men,13.739408099999999,100.5126406,Chinese,Yaowarat,4.8,679,฿฿,"อยู่ก่อนถึงวัดไตรมิตร เลยแยกหมอมี 611 ถ. เจริญกรุง แขวงตลาดน้อย เขตสัมพันธวงศ์ Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ5XHnLY6Z4jARMrEZ7AScL9M
ข้าวต้มเป็ด เป็ดอ้วน เจ้าเก่า(ประตูผี),13.7528461,100.5037394,Chinese,พระนคร,4.5,716,฿,"เลขที่ 112 Soi Samran Rat, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ97RhgBaZ4jAR_ZOFaDAOZws
Laoteng,13.7465415,100.54100609999999,Chinese,Pathumwan,4.7,589,฿฿,"โรงแรมอโนมา ชั้นที่ 2 เลขที่ 99 Thanon Ratchadamri, ลุมพินี Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJxZck1Saf4jARmu-2U6gOqws
Laoteng 楼顶 - Banthat Thong ติ่มซำ เป็ดปักกิ่ง,13.741039599999999,100.5227,Chinese,Pathumwan,4.7,548,฿฿,"1525 Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJhydlPe2Z4jARyJL9inrBSaE
ก๋วยเตี๋ยวเป็ด เต้นระบำ,13.720331799999999,100.55614279999999,Chinese,Khlong Toei,4.3,712,฿,"1212, 4 Thanon Rama IV, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ8wbkaxef4jAR-2ND2eIGgy4
