Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
Octave Rooftop Lounge and Bar Bangkok Marriott Hotel Sukhumvit,13.723502300000002,100.58054260000002,Other,Thonglor,4.4,6131,฿฿฿฿,"2 ซอย, Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJhxshNqWf4jARgYxEW8hBGcE
Sühring,13.7108133,100.54548709999999,Modern German Fine Dining,Yan Nawa,4.6,1740,฿฿฿,"10 Soi Yen Akat 3, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJa4FyWkef4jARYosTC995W8U
Su Ra Kan,13.731514899999999,100.5871379,Korean,Ekkamai,4.8,1212,฿฿฿,"เลขที่ 126/7-8, ปาร์ค อเวนิว, Thanon Ekkamai, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJiT2icQCf4jAR_jS4pyWfgUs
Khao เอกมัย,13.7292347,100.58784449999999,Thai,Ekkamai,4.4,1602,฿฿฿฿,"15 Soi Charoen Mit, Khwaeng Khlong Tan Nuea, Khlongtun Nua, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ90yP-aqf4jARQCQP5J9K69c
Gogilang โกกิลัง 고기랑,13.7369237,100.521701,Korean,Pathumwan,4.8,1182,฿฿฿,"2030 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJ9awVP6Z4jARG63KgxNla-Y
YAKINIKU MASTER SHOUTAIAN (MATSUSAKA WAGYU),13.725210299999999,100.578863,Yakiniku,Watthana,4.9,993,฿฿฿,"27 Hotel Nikko Bangkok,3rdFloor,315 Room, ถ. ทองหล่อ klongton-nua, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJFb6qt_ef4jAR3BgU450v7D4
肉々亭 Shishitei 肉々亭 Shishitei,13.7309013,100.58514319999999,Japanese,Ekkamai,4.8,999,฿฿฿,"111/3 Soi Ekkamai 5, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJM_5XpNqf4jAR_Zd0Vf4erZc
ROKUTAN Yakiniku,13.776408799999999,100.60628969999999,Yakiniku,Wang Thonglang,4.9,783,฿฿฿,"445/4 Pradit Manutham Rd, Khwaeng Wang Thonglang, Khet Wang Thonglang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJl0irLMmf4jAR45V8S7VGbxo
Sushi Masato,13.734469899999999,100.5661069,Japanese Omakase,Watthana,4.8,799,฿฿฿,"3 22 Soi Sawatdi, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJob7bn_2e4jARUP-ZMAVjLc8
Nihon No Yakiniku นิฮนโนะยากินิกุ 日本の焼肉,13.728992,100.5300542,Yakiniku,Bang Rak,4.9,745,฿฿฿,"9 2 Soi Anuman 1/1, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJp-wvAQCf4jAR2aisa7fWnU8
298 Nikuya Yakiniku,13.7293722,100.5726534,Yakiniku,Watthana,4.9,714,฿฿฿,"2/34 Soi Sukhumvit 41, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJf9_CQHaf4jARb9vVCkBnhnI
GAMSA Korean BBQ House,13.785862199999999,100.5455497,Korean,Phaya Thai,4.8,745,฿฿฿,"25/4 Soi King Chamnan Aksorn, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ-x8i3-qd4jARdOyx5awArGQ
R.HAAN,13.731832100000002,100.5795655,Thai,Thonglor,4.3,1051,฿฿฿,"131 ซอย ทองหล่อ 9 Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ-dmMWquf4jAREDFTxbjSFh0
พีซ โอเรียนทอล ทีเฮ้าส์,13.731799100000002,100.5760389,Matcha Cafe,Watthana,4.5,860,฿฿฿,"47 Soi Sukhumvit 49/1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJl-6ex6qf4jAR6SkFD41m0Og
Wolfgang's Steakhouse Bangkok,13.726869899999999,100.54540720000001,American Steakhouse,Pathumwan,4.7,730,฿฿฿,"One Bangkok 199 Storey's 3rd Floor Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJlRJUVSif4jARmqSVwEYnLQs
ยะกินิกุ เอ็น,13.719352299999999,100.57047730000001,Yakiniku,คลองเตย,4.7,703,฿฿฿,"เลขที่ 18 ห้องเลขที่ A107 Bambini Villa 108 ชั้น 1 ซ. อรรถกระวี 1 Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJMVu6FgGf4jARmGv42i21mZA
Saneh Jaan,13.735553699999999,100.5457857,Thai Fine Dining,Pathumwan,4.3,940,฿฿฿,"130 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJUWI9ztie4jARZTiHjCyTWao
Gaa,13.7273792,100.5782473,Indian Progressive Fine Dining,Watthana,4.4,861,฿฿฿,"46, 1 Soi Sukhumvit 53, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ9Rn3Stqe4jARvC9rgWzu31Q
Côte by Mauro Colagreco,13.7130923,100.51084689999999,Mediterranean Fine Dining,Bangkok,4.8,629,฿฿฿,"300/2 ถ. เจริญกรุง Khwaeng Yan Nawa, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJf8OOlnmZ4jAR1XxCVTOPfPY
เรนะ ยากินิกุ บุฟเฟต์ปิ้งย่างสไตล์ญี่ปุ่น,13.693097,100.5120972,Yakiniku,Bang Kho Laem,4.8,591,฿฿฿,"101(A, Eatery, Thanon Charoen Rat, Khwaeng Bang Khlo, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJbgEqYKf4jARuX1osMXJd5M
Restaurant POTONG,13.739154899999999,100.5084933,Progressive Thai-Chinese Fine Dining,Yaowarat,4.6,674,฿฿฿,"422 Soi Wanit 1, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJd7grWxeZ4jAR8KwClMpGmHo
Nusara,13.7457026,100.49152819999999,Modern Thai Fine Dining,Phra Nakhon,4.5,721,฿฿฿,"336 Thanon Maha Rat, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJe_d6d0OZ4jARL0uQgNHQRPI
โชไทอัน โตเกียว ชาบู ชาบู,13.741714799999999,100.5433473,Hot Pot / Suki,Pathumwan,4.8,563,฿฿฿,"34-3 Room 104 Vivre, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJw1pD2VKf4jARKcEORByRS4M
คลังเนื้อ Yakiniku Grill & Chill พรานนก,13.754044799999999,100.40905869999999,Yakiniku,Taling Chan,4.9,514,฿฿฿,"บางเชือกหนัก 59 Phran Nok Phutthamonthon Sai 4 Rd, Khwaeng Bang Chueak Nang, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJB0KfVwGX4jARf4c7jwNSXRg
MIA Bangkok,13.7213487,100.5712787,Contemporary Fine Dining,Khlong Toei,4.8,548,฿฿฿,"30 Soi Attha Kawi 1, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJTbzH3iWf4jARdfwR4GLGTZ8
Domo Yakiniku,13.7461302,100.53477919999999,Yakiniku,Pathumwan,4.8,541,฿฿฿,"Room 424-425 4th Floor, 991, Siam Center, Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ7z7sVQCf4jARrBUgmNK8zJ4
pink typhoon creative pasta steak ari พิ้งค์ ไต้ฝุ่น ครีเอทีฟ พาสต้า สเต๊ก อารีย,13.7781326,100.5355866,Steakhouse,Ari,4.8,528,฿฿,"20, 1 Soi Ari Samphan 7 Alley, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK7JIRtKe4jARy83GOjGjIbk
Opus The Italian Wine Bar & Restaurant,13.7218894,100.5234354,Italian Steakhouse,Bang Rak,4.6,592,฿฿฿,"64 Thanon Pan, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJY9qOds6Y4jAR7y-nEcW7gF0
Sorn,13.7231004,100.5685251,Southern Thai Fine Dining,Khlong Toei,4.6,588,฿฿฿,"56 Sukhumvit 26, Khwaeng Khlong Tan Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJWfYJ3QWf4jAR9erXv7kK7sA
