Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
Shu Daxia Mala Hotpot ร้านหม่าล่า กรุงเทพ @MBK,13.7454547,100.5300979,Hot Pot / Suki,Pathumwan,4.9,9846,฿฿,"Floor 6 MBK Center 444 Phaya Thai Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJdwrpAQCf4jARLueOBrlPfQI
Niku Sho Sukhumvit 31,13.7345872,100.56652229999999,Yakiniku,Watthana,4.8,8730,฿฿,"12 Sukhumvit 31, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ46fu9HKf4jARupTR_jaL8cc
TenTen ชาบู 4 สี หมีออนเซน,13.7452121,100.5338857,Hot Pot / Suki,Pathumwan,4.8,5662,฿฿,"388 5th Floor, Siam Square One, Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJOS7Ez9-f4jARk2lpG0azP2k
ทวีโชคหมูกะทะ สาขา9 บรรทัดทอง,13.7471269,100.52360929999999,BBQ,Pathumwan,4.9,5020,฿฿,"1196 Thanon Rama VI, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjYtkDAmZ4jARVKOVErxm5xU
ทวีโชคหมูกะทะ สาขา13 ประชาชื่น,13.8450875,100.54305199999999,BBQ,จตุจักร,4.9,4000,฿฿,"ลาดยาว, 50 ถนน เทศบาลรังรักษ์เหนือ Khwaeng Lat Yao, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJq7RFvOyd4jARFRTFmHV3Fb8
Red Panda Yakiniku (Phaya Thai),13.7562211,100.53385910000002,Yakiniku,Ratchathewi,4.8,3488,฿฿,"55, 26-27 Phaya Thai Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJO3UE-uCf4jARpBGCSmdYoZc
หมูกระทะ ไทยเลอ บาร์กริล,13.706745399999999,100.5249699,BBQ,Sathorn,4.9,3071,฿฿,"Thanon Chan, Khwaeng Thung Wat Don, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ3Rppr1GZ4jAR4Tp2G8r0QW0
ขาหมูกระทะทอง (ต้มถั่ว) เจริญนคร,13.716527200000002,100.507189,BBQ,บางลำภูล่าง,4.9,2384,฿,"ติดปั้มเชลล์ 1347 Soi Luang Kosa, Khwaeng Bang Lamphu Lang, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJOdYqIjGZ4jARlWHdceourMA
HITORI SHABU,13.7461299,100.5347102,Hot Pot / Suki,Pathumwan,4.7,2678,฿฿,"Siam Paragon, G Fl, 991 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJh4qCVaif4jAR3B7egKQp3Wc
Renga Sukiyaki(เรนกะ)-ราชพฤกษ์,13.766756899999999,100.4449106,Hot Pot / Suki,ตลิ่งชัน,4.9,2198,฿฿,"54 หมู่ที่ 13 Thanon Ratchaphruek, Khwaeng Bang Ramat, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ-dqBmOWZ4jARiz_NJWw9hHI
แห้วซีฟู๊ด ปูดองหัวปลาหม้อไฟ พุทธมณฑลสาย 2,13.7323268,100.3953151,Hot Pot / Suki,Bang Khae,4.3,2830,฿฿,"289 1 Thanon PhutthaMonthon Sai 2, Khwaeng Bang Phai, Khet Bang Khae, Krung Thep Maha Nakhon 10160, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJv6tdnkOX4jARF4RUhhyAUzY
ชูกริลล์ชาบู ถนนบรรทัดทอง,13.743575199999999,100.5232235,Hot Pot / Suki,Pathumwan,4.9,1650,฿฿,"971, 973 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJn55SMlGZ4jARQ9aHIusSCpc
ตั้งใจปิ้ง หมูกระทะ (TANG JAI PING MOOKATA),13.7545342,100.6143895,BBQ,Bangkapi,5.0,1527,฿฿,"Ramkhamhaeng Rd, Khwaeng Hua Mak, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJi5Rdt6mf4jARfOXdeXB_St4
ทุกวันหมูกระทะ,13.759988799999999,100.6433,BBQ,Bangkapi,4.9,1262,฿฿,"23 Soi Ramkhamhaeng 52, Khwaeng Hua Mak, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK21OKolhHTERTPlDpOstk5o
KURA Premium Yakiniku and Sushi 蔵,13.7373633,100.5431568,Yakiniku,Pathumwan,4.9,1207,฿฿,"B104, 87 Room no VELAA AT SINDHORN VILLAGE 105 Soi Langsuan, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkwe2prCf4jARypVZbxGoV8c
ร้าน คุณ ภัฐ หมูกะทะ,13.784231,100.58238569999999,BBQ,Huai Khwang,4.9,1134,฿฿,"5 Soi 20 Mithuna, Lane 16, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJt7SQBKyf4jAR_j9zUVbWG5M
ฟู่ฟู่ ไต้หวันนีส ชาบู บุฟเฟต์ สาขาพระราม 4,13.716124599999999,100.57424089999999,Hot Pot / Suki,Khlong Toei,4.5,1382,฿฿,"3243/1 Thanon Rama IV, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJg7yG-wmf4jARRify9AbXuyA
ร้านหมูกระทะคุณภัฐ รามคำแหง 65 (สาขา8),13.766085299999999,100.6236412,BBQ,Wang Thonglang,4.9,1017,฿฿,"395/1 Khwaeng Phlabphla, Khet Wang Thonglang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJpXc-R25hHTERhoSM1znX8s8
ชาบูคิง พระราม 9,13.745496399999999,100.6097413,Hot Pot / Suki,Bangkapi,4.8,1045,฿฿,"29, Rama IX Soi 37, Khwaeng Hua Mak, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJM-YvBQCf4jARjL0EH6X511w
Everyday Mookrata Silom,13.7276171,100.52708559999999,BBQ,Bang Rak,4.6,1204,฿฿,"6 Thanon Naradhiwat Rajanagarindra, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJVRjmztyZ4jARZqtMz-8SYso
ตั้งเตาส์หมูกระทะ-สาขาลาดพร้าววังหิน,13.803749999999999,100.59289109999999,BBQ,Lat Phrao,4.7,1120,฿฿,"124/1 Thanon Lat Phrao Wanghin, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJv7orfj2d4jARaKVnKrSRtTs
ยากินิคุ มาเอดะ,13.7307491,100.5856994,Yakiniku,วัฒนา,4.9,897,฿฿,"ห้องเลขที่ 307, Donki Mall Thonglor ชั้น 3, 107 Soi Sukhumvit 63, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ0wVCuiWf4jAREmPzwT-sTLs
ทวีโชคหมูกะทะ สาขา5 ลาดพร้าว101,13.7875859,100.62905479999999,BBQ,Wang Thonglang,4.8,904,฿฿,"729 142 Thanon Lat Phrao 101, Khlong Chaokhun Sing, Khet Wang Thonglang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJmfnRrgxjHTERk5jD9Tez3OY
นักล่าหมูกระทะ เอ็ม บี เค เซ็นเตอร์,13.743626700000002,100.53012489999999,BBQ,Phaya Thai,4.5,1104,฿฿,"444 ถนน พญาไท อาคารมาบุญครองเซ็นเตอร์ ชั้น 2 Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJeeNC_kuf4jARhbLMNYU8vJE
คุณเปิ้ล หมูกระทะ,13.782363199999999,100.58168549999999,BBQ,Huai Khwang,4.3,1274,฿฿,"Soi 20 Mithuna, Lane 22, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJFeKmu9ad4jARwI77uT0Y5j8
Nabezo Premium (Central Embassy),13.7439348,100.54677769999999,Hot Pot / Suki,Pathumwan,4.7,945,฿฿,"1453 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJf00sotye4jARLb3Kl5oVXBE
