Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
ซูชินะ ฟอร์จูนทาวน์,13.7570742,100.56486249999999,Japanese,Rama 9,4.9,3276,฿฿,"ชั้น1, หน้าโรงแรม​ AVANI​ ตรงข้ามธนาคารกรุงศรี, ศูนย์การค้าฟอร์จูนทาวน์, 5 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJb7Wy5Qmf4jAReLw9TOEaY7g
505 HOUSE (5 O 5 ハウス),13.844622699999999,100.6212161,Japanese,Lat Phrao,5.0,1366,฿฿,"75 Thanon Prasert-Manukitch 29, Khwaeng Chorakhe Bua, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ0TSZeQBjHTER3vTaELmQfHI
SUSHIRO THAILAND Central Plaza Grand Rama 9,13.7594251,100.5664461,Japanese,Rama 9,4.4,1542,฿฿,"เลขที่ห้อง 630, 631/2 ชั้นที่ 6, 9/9 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10320, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ1QSVleGf4jARvlb9zH6VzE4
Umeshuthai Sukhumvit 45 梅酒タイ スクンビット 和食堂・梅酒バー | Japanese Restaurant and Umeshu Bar,13.727841999999999,100.5736684,Japanese,Watthana,4.7,1194,฿,"835 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJN6RJi8Wf4jARIJvN-HeTQCY
Washoku Aji,13.7268025,100.58584909999999,Japanese,Sukhumvit,4.5,1068,฿฿,"78/2 Soi Sukhumvit 63, Khwaeng Phra Khanong Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ76Xr-K2f4jAR6gpk84MxrNM
Washoku Aji,13.7268025,100.58584909999999,Japanese,Ekkamai,4.5,1068,฿฿,"78/2 Soi Sukhumvit 63, Khwaeng Phra Khanong Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ76Xr-K2f4jAR6gpk84MxrNM
Taishoken Ramen,13.7260943,100.5802216,Japanese,Thonglor,4.5,696,฿฿,"ชั้น 1, Fifty Fifth, 90 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJM-ixT62f4jARkSl5E-sZnh0
ISHII KATSU อิชิอิ คัตสึ,13.815904699999999,100.68697619999999,Japanese Katsu,Khan Na Yao,5.0,433,฿฿,"121, 40 Soi Rarm Intra 103/2, Khwaeng Khan Na Yao, Khet Khan Na Yao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJTcKzfcFjHTERFnoTefhRUKk
Nen (念) Rama 9 - Modern Japanese Homecook,13.7441514,100.6245337,Japanese,Suan Luang,4.9,372,฿฿,"23 Rama 9 Soi 41 Suanluang Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJNbOjbhdhHTERusIOByPajHg
Osaka Ohsho,13.7261138,100.58029259999999,Japanese,Thonglor,4.4,442,฿฿,"The Fifty Fifth Plaza 90 ซอยทองหล่อ 2 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJm3Uks66f4jARTVpWzf_BQJI
Noomjad.bkk,13.757092,100.5659539,Japanese,Rama 9,4.5,332,฿฿,"ชั้น G, อาคาร จี ทาวเวอร์ 309 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ9bfL-faf4jARgGCGo5x9CIs
Ippudo,13.7585863,100.5663313,Japanese,Rama 9,4.3,234,฿฿,"อาคารศูนย์การค้า เซ็นทรัล, Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK4TIpf6f4jARaZg1cUnursY
SUMIKOYA YATAI izakaya,13.8215661,100.6617912,Japanese,Khan Na Yao,4.9,120,฿฿,"111 Ram Intra 62, Khwaeng Ram Inthra, Khet Khan Na Yao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ3cvz9Y9jHTERiXzHpA1JK2I
Kinniku Gyudon พัฒนาการ,13.727844999999999,100.65672389999999,Japanese,Bangkok,4.6,82,฿฿,"207, 91 เมืองทองนิเวศน์, Khwaeng Prawet, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ10cdPABhHTERw5FMn88tHj4
Shabubu Thonglor,13.7313003,100.5844393,Japanese,Watthana,4.6,68,฿฿,"125/1 Soi Sukhumvit 63, ถนน เอกมัย แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ_YXXNNuf4jAR2GLwNOWdCHE
