Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
ซัม กยอบ ซัล,13.7971595,100.5752419,Korean,Huai Khwang,4.9,11469,฿฿,"410, 115-116 Soi Ratchadaphisek 22, Khwaeng Samsen Nok, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJB9aS3l2d4jARZXTLifLjZrQ
Hongdae Buffet Siam Square One,13.7450867,100.53401079999999,Korean,Pathumwan,4.8,5949,฿฿,"Unit SS 5018 - 19, 388 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkSRYFdKe4jARHuKV60eqRT4
มันจอมเอ ปิ้งย่างเกาหลี,13.751441799999998,100.53232899999999,Korean,Phaya Thai,4.9,5470,฿฿,"89/70 Room A6 CocoWalk Ratchathewi, ถ. พญาไท แขวงถนนเพชรบุรี Rajthawei, กรุงเทพมหานคร 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJRf8ELbOf4jARF2dtNc45Xyg
กังนัมบาร์บีคิว ลาดกระบัง,13.7227632,100.76427969999999,Korean,Lat Krabang,4.8,5524,฿฿,"1529 Soi Khum Lamphai, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ-y1HTrRnHTERJ2y9ZPgPXwg
โกกิเนมเซ สามย่าน,13.7344808,100.52595679999999,Korean,Pathumwan,4.9,4127,฿฿,"280 Soi Chulalongkorn 11, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJNWyyyluZ4jAR8xE_xu7adaw
Bornga Thailand,13.7375583,100.5698488,Korean,วัฒนา,4.8,4148,฿฿,"ชั้น 2, บูเลอวาร์ด ทาวเวอร์, Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJbY7gF8Of4jARFyzLUFoqsuQ
โดง อี,13.7381993,100.5578788,Korean,Khlong Toei,4.9,2772,฿฿,"212/20, 1st Floor, Sukhumvit Plaza Soi 12 (Korean Town, ถ. สุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJox7O4eOe4jARMNBT7vmIDzY
เมียงคา,13.738279299999999,100.5578943,Korean,คลองเตย,4.8,2805,฿฿,"21216 สุขุมวิทพลาซ่า ซอย อาคารสุขุมวิทพลาซ่า ชั้น 3 Sukhumvit 12, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkTWS3eOe4jARauzDiBy263Y
il mi jung,13.7377857,100.5579066,Korean,Khlong Toei,4.8,2341,฿฿,"212 Sukhumvit 12, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJyxdA4OOe4jARyObK8PFbn4Y
อาจุมม่าGrill บุฟเฟ่ต์ปิ้งย่างเกาหลี พระราม2,13.6722238,100.45708529999999,Korean,Chom Thong,4.7,2443,฿฿,"57 14 Rama 2 Soi 43, Khwaeng Bang Mot, Khet Chom Thong, Krung Thep Maha Nakhon 10150, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJccECRmmj4jARmu7aJDkX-qs
โกกิเนมเซ บางนา,13.670771499999999,100.6360473,Korean,Bangna,4.8,2128,฿฿,"เลขที่ 58 อาคาร BIZZO, ชั้น 1 ห้อง B 101 - B 102, ซอยบางนา-ตราด 23 ถนนบางนา-ตราด, บางนา, เขตบางนา กรุงเทพมหานคร 10260, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJQV_wLu9fHTERrMTl0acoo1s
Kosirae,13.7249409,100.57973439999999,Korean,Thonglor,4.4,2758,฿฿,"97 99 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJmVWZ2aif4jARgARENVJv07g
SURA Korean BBQ_by Korean Chef,13.734647700000002,100.5720937,Korean,Watthana,4.7,2206,฿฿,"32/1 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJcQq1s_-e4jARN4ySRHpTidY
korean Kitchen ปิ้งย่างเกาหลี,13.6991182,100.7045205,Korean,Prawet,4.9,1887,฿฿,"160, 3 Thanon Sukhaphiban 2, Khwaeng Dok Mai, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJlbG-pR5hHTERF6TEdzMmua8
ซุกดัล ปิ้งย่างเกาหลีพรีเมียม (บรรทัดทอง),13.7472069,100.5240678,Korean,Pathumwan,4.8,1937,฿฿,"92/1-3 94 Rama I Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjcniOPWZ4jARcH3EvgCD-M8
Yuk-Do ยุกโด สยามสเคป,13.744524,100.5308531,Korean,Pathumwan,4.8,1652,฿฿,"SIAMSCAPE, 215 ชั้น 3, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJwzNiPRef4jARMK6xrzcWA9Y
เคบีบีคิว สุขุมวิท,13.7420055,100.5581905,Korean,Watthana,4.7,1706,฿฿,"เรสซิเดนเซส ชั้น 2 ถ. 12/497 อาคาร 15 สุขุมวิท Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJbykHRfSf4jARn2JYKm5ZdFM
ดูเร,13.738284,100.55793589999999,Korean,Khlong Toei,4.6,1797,฿฿,"212 15 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJt-itk-Oe4jAR-7mgbaBJzlg
Kiani ทองหล่อ,13.7260034,100.580468,Korean,Thonglor,4.8,1286,฿฿,"90 Fifty fifth Thonglor Building Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJx6JXUqmf4jAR6tmg4xV65_A
KABORAE,13.738301199999999,100.5579448,Korean,คลองเตย,4.9,1054,฿฿,"Sukhumvit 12, แขวง คลองเตย Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ5QN0YOGe4jARE-Y03sxqpmY
แนแน บาร์บีคิว บุฟเฟต์อาหารเกาหลี (รัชดา),13.7630774,100.5653114,Korean,Din Daeng,4.3,1291,฿฿,"332, 85 Soi Ratchadaphisek 3, Intersection 4, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK4ukaY6e4jARlcxTABJW-qw
