Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
รุ่งเรือง (ตั๋ง) ก๋วยเตี๋ยวหมูต้มยำ,13.728437099999999,100.57067239999999,Noodles,Khlong Toei,4.4,9206,฿,"10/3 Sukhumvit 26, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJMwKZPwGf4jARkgykQtmIoM8
เล็กใหญ่ ก๋วยเตี๋ยวต้มยำโบราณ • สามย่าน,13.7429054,100.5228213,Noodles,Pathumwan,4.7,5437,฿,"1440 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJB_B7YUyZ4jARuPyeBAQ4EnI
บ้านก๋วยเตี๋ยวเรือทอง อนุสาวรีย์ชัยสมรภูมิ,13.765751799999999,100.5394974,Noodles,Phaya Thai,4.4,3205,฿,"1/7 Thanon Ratchawithi, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ46MaYLCe4jARYgKxjbDAMYw
ร้านพี่อ้อก๋วยเตี๋ยวต้มยำกุ้ง,13.7558844,100.52943479999999,Noodles,Ratchathewi,4.3,3381,฿,"68, 51 Thanon Phetchaburi, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJsW06FTWZ4jARLILZg-S3ODU
เล็กใหญ่ ก๋วยเตี๋ยวต้มยำโบราณ,13.7778919,100.5591116,Noodles,ดินแดง,4.8,1954,฿,"126/13 ซ. วิภาวดิรังสิต2 แยก 6 Ratchadaphisek, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJT9y3aMqf4jARRTx90LqDdU4
บะหมี่คนแซ่ลี ทองหล่อ,13.7235613,100.57979139999999,Noodles,Thonglor,4.4,2582,฿,"1081 Sukhumvit Rd, แขวง วัฒนา Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJXUzQ0Kif4jARpupfUL8zxTQ
ก๋วยเตี๋ยวเรือสามแซ่บ โชคชัย4,13.814485699999999,100.5961434,Noodles,Lat Phrao,4.8,1403,฿,"417 Chok Chai 4 Soi 49, ลาดพร้าว Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ42nFAfSd4jARAL_fOxX8ZIw
ก๋วยเตี๋ยวเรือกรุงทอง สาขา อารีย์,13.782476299999999,100.5461521,Noodles,Phaya Thai,4.9,1241,฿,"404 20-21 Phahon Yothin Road, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJSYzhdLSd4jARuqQajLQt6iU
ก๋วยเตี๋ยวเรือ คุณชาย,13.786064699999999,100.4433713,Noodles,ตลิ่งชัน,4.3,1888,฿,"18/3 หมู่ที่ 3 Khwaeng Chim Phli, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJObsQvAGa4jAR6JIOd6FSNLU
โอว ก๋วยเตี๋ยวพริกสด ซ.มัยลาภ(ย้ายจาก สุคนธสวัสดิ์),13.8485886,100.6240323,Noodles,Bang Khen,4.4,1634,฿,"91 Soi Rarm Intra 14, Khwaeng Tha Raeng, Khet Bang Khen, Krung Thep Maha Nakhon 10220, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJeZgp14FiHTERKJ5qXZADweY
ก๋วยเตี๋ยว ลุงหนั่นรัชดา,13.7821169,100.58471829999999,Noodles,Huai Khwang,4.4,1533,฿,"Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJYa6eVyyc4jARcONFu1TdUAY
กลืนเส้น ก๋วยเตี๋ยวต้มยำ โชคชัย4,13.803953799999999,100.59683079999999,Noodles,Lat Phrao,4.9,1053,฿,"206 หมู่10 Thanon Chok Chai 4, ลาดพร้าว Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJyQDfPF2d4jARWG27SCyTEk0
เปลว ก๋วยเตี๋ยวต้มยำโบราณนครปฐม,13.7778569,100.5838775,Noodles,Huai Khwang,4.5,1311,฿,"633 Soi Pracha Rat Bamphen 21, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJfxhlxded4jAR0RkFWksUr9g
ต้อยก๋วยเตี๋ยวเรือ,13.7681512,100.5359061,Noodles,Ratchathewi,4.4,1288,฿,"Soi Ratchawithi 18, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJV3n3-rGe4jARrUnDLO8V4gY
ก๋วยเตี๋ยวต้มยำกากหมูสูตรโบราณ The Alley รามอินทรา,13.8335648,100.67031589999999,Noodles,Khan Na Yao,4.8,950,฿,"589 Ram Inthra Rd, Khwaeng Ram Inthra, Khet Khan Na Yao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ1cl4YgBjHTERnUnihykA4Ow
ซ้งเตี๋ยวหมูต้มยำมะนาว Zongtiew Tom Yum Noodles,13.7126468,100.5022515,Noodles,Khlong San,4.8,924,฿,"912 Charoen Nakhon Rd, Khwaeng Bang Lamphu Lang, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJA8USHgCZ4jARO_rv3Kch4Yw
ก๋วยเตี๋ยวตรอกโรงหมู,13.737181,100.51479510000001,Noodles,Yaowarat,4.4,1162,฿,"23 10 Soi Sukon 1, Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJczXlESeZ4jAR7-MrzumXvKM
เล้งเตี๋ยวหมูต้มยำ บรรทัดทอง (ร้านดั้งเดิม รสแซ่บ อร่อยคุ้มค่า),13.7436068,100.5229104,Noodles,Pathumwan,4.9,779,฿฿,"1402 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJcdV01cqZ4jARqO_-PU5X7kU
ก๋วยเตี๋ยวต้มยำกากหมูสูตรโบราณ รามคำแหง,13.7776718,100.67323490000001,Noodles,Saphan Sung,4.8,777,฿,"91 Soi 2, Khwaeng Saphan Sung, Khet Saphan Sung, Krung Thep Maha Nakhon 10240, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJgb8_7_ZhHTERjBV_yKW8PZk
"ก๋วยเตี๋ยว ""แซว"" 49",13.7269594,100.57541959999999,Noodles,Watthana,4.4,1030,฿,"1 Sukhumvit 49, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ3fcy96mf4jAR4Op5i05ZuzQ
ก๋วยเตี๋ยว ต้มเลือดหมูนายใช้ ลาดพร้าว,13.7990588,100.6066488,Noodles,Lat Phrao,4.3,1052,฿,"36 ถนน นาคนิวาส Sena Niwet Soi 125/2, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJK-MjOu2d4jARJXQXUhyrhhw
โคตรเฮงสาย2 ก๋วยเตี๋ยวเรือ ข้าวมันไก่สิงคโปร์ กะเพราถาด,13.737764799999999,100.395241,Noodles,Bang Khae,4.3,852,฿,"Point Center Co.,Ltd., 2/62, Moo 5, Phutthamonthon Sai 2 Road North Khwaeng Bang Phai, Khet Bang Khae, Krung Thep Maha Nakhon 10160, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJTWLDT2iX4jARroi4zcEAQtI
มานา ก๋วยเตี๋ยวหมูตำลึง,13.840724,100.5466086,Noodles,จตุจักร,4.3,833,฿,"100/4 ถนน เทศบาลรังรักษ์เหนือ Khwaeng Lat Yao, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ7yBde5Gc4jARIpEbOyHIM2w
ก๋วยเตี๋ยวเรือศรีอยุธยา นางลิ้นจี่ Sri Ayutthaya Boat Noodle Nanglinchi,13.7142629,100.5399388,Noodles,Sathorn,4.9,488,฿,"Nang Linchi Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJZbP_OwCf4jARJ6oKeQTefvc
ก๋วยเตี๋ยวเรือรสไทย สูตรโบราณ ตลาดเตาปูน,13.8070468,100.53240029999999,Noodles,Nonthaburi,4.4,691,฿,"44 36-37 ถ. กรุงเทพ - นนทบุรี Khwaeng Bang Sue, Khet Bang Sue, Krung Thep Maha Nakhon 10800, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJ5M1S3Sc4jAR34WGfkLcdU0
ก๋วยเตี๋ยวเรืออยุธยา เจ๊จุ๋ม,13.7666855,100.4713242,Noodles,Bangkok Noi,4.3,696,฿,"23, 46 Thanon Bang Khun Non, Khwaeng Bang Khun Non, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJgaSL3JCZ4jARtfMy1U2ubU8
ก๋วยเตี๋ยวเรือ น้าเสริม รสเด็ด,13.721649,100.7175795,Noodles,Lat Krabang,4.9,443,฿,"2 Soi Thai Samut, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJH19e4rJnHTERJQNw-MPrFXU
Shindo Ramen,13.802026999999999,100.31932230000001,Japanese Ramen,Bangkok,4.3,645,฿฿,"65/29 Tambon Salaya, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom 73170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJY86myZGT4jARM6NVxi4V0B4
SENDO RAMEN,13.7286443,100.53375820000001,Japanese Ramen,Bang Rak,4.4,569,฿฿,"SENDO RAMEN, 4F Thaniya Building, 52 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJlepoPZOf4jAR6BpXAs-dEkw
ก๋วยเตี๋ยวเรืออัศวิน สาขาบรรทัดทอง,13.7433953,100.52311859999999,Noodles,Pathumwan,4.7,452,฿,"989, 991 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJdVWoztef4jARZLV_wRkB6aE
ก๋วยเตี๋ยวเรือศรีอยุธยา (เทเวศร์) Sri Ayutthaya Noodle,13.7704244,100.5061087,Noodles,ดุสิต,4.3,600,฿,"224 Thanon Si Ayutthaya, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJ1RCj6YxEBERZfi0fOQhxpk
ก๋วยเตี๋ยวเรืออยุธยา รสดั้งเดิม สูตรโบราณ,13.897330700000001,100.58742629999999,Noodles,Don Mueang,4.4,537,฿,"VHWP+WXM, Don Mueang, Bangkok 10210, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJr2BoyOiC4jARETmijn0oZHo
เจ๊พร ก๋วยเตี๋ยวเรืออยุธยา (สูตรต้นตำรับ) Porn The Original Recipe Of The Ayutthaya Boat Noodle,13.841145599999999,100.7013872,Noodles,คลองสามวา,4.9,353,฿฿,"ห้องเลขที่ 1-3 หน้า CJ 244 Thanon Surao Khlong Nueng, บางชัน Khet Khlong Sam Wa, Krung Thep Maha Nakhon 10510, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJb41ZUNpjHTER4U0i1mzlZRg
