Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
ซ้งเป็ดพะโล้ วังหิน,13.830842899999999,100.5919361,Other,Lat Phrao,4.4,6802,฿฿,"82 Thanon Lat Phrao Wanghin, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJtcrdOAyd4jARyl0SWdLVfic
ขาหมูเจริญแสงสีลม สีลม,13.7228017,100.5168825,Other,Silom,4.4,4580,฿,"492/6 ถ.สีลม ติด Soi Charoen Krung 49, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJN7WtOMWY4jAR871Dy2U8mbA
เฮียให้ HERE HAI เอกมัย,13.7302655,100.586342,Other,Ekkamai,4.4,3907,฿฿,"112, 1 Thanon Ekkamai, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJTUsNVjOf4jARkGF5xIeIJCY
ฮั่วเซ่งฮง เซ็นทรัล พระราม 9,13.758655699999998,100.5660382,Other,Huai Khwang,4.7,2497,฿฿,"Rama IX Rd, ห้วยขวาง Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJuZ6-Ho2e4jARHEBaAYreb7M
via emilia restaurant สาทร sathorn,13.7156627,100.5364041,Other,Sathorn,4.7,1941,฿฿,"1040 Soi Naradhiwas Rajanagarindra 17, Lane 5, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ3-sH4Taf4jARSnkHsIuLKa4
คลั่งเนื้อ อารีย์ซอย 5 klang nuea,13.7790964,100.5384938,Other,Ari,4.9,1359,฿฿,"55 ซอย พหลโยธิน 7 Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ5-NrNQCf4jARbXm38NO3_G0
lucky s hungry อารีย์,13.781774100000002,100.5427625,Other,Ari,4.7,1542,฿฿,"9 1 Soi Ari 3, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJc6nvAmGd4jAREp6SCD85N_Q
อรุณวรรณ เอกมัย,13.7350288,100.5877088,Other,Ekkamai,4.6,1524,฿,"295 อาคาร, PARK X ปาก, Soi Ekkamai 15, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJUfuTC02e4jARzgdD-i0Tbr0
Escape Bangkok,13.731144299999999,100.5698092,Other,Sukhumvit,4.5,1531,฿฿,"693-695 5th Floor, Building B, EmQuartier Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJEZrYkQGf4jARGGfodkPJnEE
Brewski Rooftop Bar,13.735310799999999,100.5640981,Other,Sukhumvit,4.3,1774,฿฿,"489 Sukhumvit Rd, Khlong Toei Nuea Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJZ5sHSP2e4jARKY8-F-aVpcg
