Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
Zhang Jia Yi — Ari (Baytong Chicken Rice),13.785205099999999,100.5447913,Thai,Phaya Thai,4.8,5274,฿฿,"104, 106 Soi Si Fa, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJW0mrbfWe4jARhESOURP7fKw
แก้ว ไก่ กรอบ,13.722094600000002,100.77510869999999,Thai,Lat Krabang,4.5,4892,฿฿,"1637 Thanon Lat Krabang, Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ0xFkmsxnHTER4AuW0HYaNEE
บ้านส้มตํา สาขาสาทร,13.720701199999999,100.5205297,Thai,Bang Rak,4.4,3711,฿฿,"9, 1 Thanon Si Wiang, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJKyRwBs-Y4jARYGe3Dw40LoI
Polo Fried Chicken (Soi Polo),13.7322268,100.54596099999999,Thai Fried Chicken,Pathumwan,4.3,3767,฿฿,"137/1-3 Soi Polo, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ--rTNief4jARBGLQAL_tfHw
ตำ 20 รัชดา - สุทธิสาร,13.7890599,100.5874599,Thai,Huai Khwang,4.6,2954,฿฿,"90 Thanon Sutthisan Winitchai, Khwaeng Samsen Nok, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJybOu5M6d4jARf85kTdildDA
สมบูรณ์โภชนา รัชดา,13.7778463,100.5732508,Thai,Ratchada,4.3,3596,฿฿,"167/9-12 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJh3pFGICe4jARuIFdCClOi90
ตำ20 สายไหม,13.921054,100.6685299,Thai,Sai Mai,4.7,2582,฿฿,"13, 8 Sai Mai Rd, Khwaeng Sai Mai, Khet Sai Mai, Krung Thep Maha Nakhon 10220, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJddtRVgt9HTERIO7bKK39Z7c
แกงสด,13.7258202,100.54783680000001,Thai,Pathumwan,4.9,1879,฿฿,"Unit 1339, Floor 3F, Parade, One Bangkok 1877 ถ. พระรามที่ 4 แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJScZmNwCf4jARLogYcw8hsGY
ตั๋นโบข้าวมันไก่เยาวราช,13.740905699999999,100.5088517,Thai,Yaowarat,4.8,1967,฿,"301 Yaowarat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJBZ4lFQCZ4jAR_kEKWPvgMWM
หมูแดงนายไซ,13.8370506,100.5404021,Thai,Bang Sue,4.3,2676,฿,"1059 Thanon Pracha Chuen, Khwaeng Wong Sawang, Khet Bang Sue, Krung Thep Maha Nakhon 10800, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJWk-U4Wc4jARKi0t_tEqtdc
Somtum Der,13.727591199999999,100.536404,Isaan Thai,Bang Rak,4.4,2471,฿฿,"5, 5 Thanon Sala Daeng, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ6fUwuS6f4jARYytUkc2MT3s
บ้านไอซ์ ทองหล่อ,13.7290537,100.580688,Thai,Thonglor,4.6,2087,฿฿,"115 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJKaihd6yf4jARJboSwdnH7sw
